Title,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Release Year
Space Cowboys ,90464773,38419359,128884132,action adventure thriller,2000
Space Jam ,90418342,140000000,230418342,adventure animation comedy family fantasy scifi sport,1996
Get Hard ,90411453,21300000,111711453,comedy crime,2015
RED ,90380162,108626225,199006387,action comedy crime thriller,2010
Planes ,90288712,148970000,239258712,adventure animation comedy family sport,2013
"Legally Blonde 2: Red, White & Blonde ",90186328,34728514,124914842,comedy,2003
Mystic River ,90135191,66460000,156595191,crime drama mystery thriller,2003
Terminator Genisys ,89760956,350842581,440603537,action adventure scifi thriller,2015
Flightplan ,89707299,133680000,223387299,drama mystery thriller,2005
The Emperor's New Groove ,89636687,80025000,169661687,adventure animation comedy family fantasy,2000
The Lone Ranger ,89302115,171200000,260502115,action adventure western,2013
Taken 3 ,89256424,237222717,326479141,action crime thriller,2014
Don't Breathe ,89217875,68543127,157761002,crime horror thriller,2016
Scream 3 ,89143175,72691101,161834276,horror mystery,2000
Oblivion ,89107235,197061337,286168572,action adventure scifi,2013
The Ugly Truth ,88915214,232767386,321682600,comedy romance,2009
Percy Jackson & the Olympians: The Lightning Thief ,88768303,137728906,226497209,adventure family fantasy,2010
Failure to Launch ,88715192,41508966,130224158,comedy romance,2006
The Muppets ,88631237,76553000,165184237,adventure comedy family musical,2011
Inside Man ,88513495,97490096,186003591,crime drama mystery thriller,2006
Back to the Future Part III ,88277583,156800000,245077583,adventure comedy scifi western,1990
Waterworld ,88246220,175972000,264218220,action adventure scifi,1995
Starsky & Hutch ,88237754,82030996,170268750,comedy crime,2004
Along Came Polly ,88097164,90214565,178311729,comedy romance,2004
The Hand that Rocks the Cradle ,88036683,88036683,88036683,drama thriller,1992
Entrapment ,87704396,124700000,212404396,action crime romance thriller,1999
Peter Pan ,87404651,87404651,87404651,adventure animation family fantasy musical,1953
Pineapple Express ,87341380,14283463,101624843,action comedy crime,2008
Miss Peregrine's Home for Peculiar Children ,87242834,209239612,296482446,adventure drama family fantasy thriller,2016
Sisters ,87044645,17966408,105011053,comedy,2015
Saw II ,87039965,60708540,147748505,horror mystery,2005
The Naked Gun 2½: The Smell of Fear ,86930411,86930411,86930411,comedy crime,1991
The Campaign ,86907746,18000000,104907746,comedy,2012
The Accountant ,86260045,68900000,155160045,action thriller,2016
Dumb and Dumber To ,86208010,83629000,169837010,comedy,2014
Cruella ,86103234,147171578,233274812,adventure comedy crime drama,2021
The Emoji Movie ,86089513,131687133,217776646,adventure animation comedy family fantasy scifi,2017
Mean Girls ,86058055,44068222,130126277,comedy,2004
Annie ,85911262,50942244,136853506,comedy drama family musical,2014
Alvin and the Chipmunks: The Road Chip ,85886987,148911649,234798636,adventure animation comedy family fantasy music musical,2015
Spy Kids 2: Island of Lost Dreams ,85846429,33876929,119723358,action adventure comedy family scifi,2002
Alita: Battle Angel ,85838210,319142333,404980543,action adventure scifi thriller,2019
Fury ,85817906,126004791,211822697,action drama war,2014
Pokémon: The First Movie - Mewtwo Strikes Back ,85744662,77900000,163644662,action adventure animation family fantasy scifi,1998
Real Steel ,85468508,213800000,299268508,action drama scifi sport,2011
The SpongeBob SquarePants Movie ,85417988,55649139,141067127,adventure animation comedy family fantasy,2004
Power Rangers ,85364450,56972790,142337240,action adventure fantasy scifi,2017
Stripes ,85297000,85297000,85297000,comedy war,1981
Anchorman: The Legend of Ron Burgundy ,85288303,5421064,90709367,comedy,2004
Aliens ,85160248,45900000,131060248,action adventure scifi thriller,1986
Open Season ,85105259,115706430,200811689,adventure animation comedy drama family,2006
Green Book ,85080171,236672485,321752656,biography comedy drama music,2018
The Expendables 2 ,85028192,229947763,314975955,action adventure thriller,2012
Dangerous Minds ,84919401,94600000,179519401,biography drama,1995
Paranormal Activity 2 ,84752907,92759125,177512032,horror mystery,2010
Tammy ,84525432,15850000,100375432,comedy romance,2014
The Santa Clause 3: The Escape Clause ,84500122,26268000,110768122,adventure comedy family fantasy,2006
Ferdinand ,84410380,211658819,296069199,adventure animation comedy drama family,2017
"Crazy, Stupid, Love. ",84351197,60700000,145051197,comedy drama romance,2011
Annabelle ,84273813,173305469,257579282,horror mystery thriller,2014
Scooby-Doo 2: Monsters Unleashed ,84216833,97000000,181216833,adventure comedy family fantasy horror mystery scifi,2004
Birds of Prey ,84158461,117700000,201858461,action adventure comedy crime,2020
Atlantis: The Lost Empire ,84056472,101997253,186053725,action adventure animation family fantasy scifi,2001
Cliffhanger ,84049211,170951000,255000211,action adventure thriller,1993
The Other Woman ,83911193,112799203,196710396,comedy romance,2014
The X Files ,83898313,105278110,189176423,drama mystery scifi thriller,1998
Penguins of Madagascar ,83850911,289664710,373515621,adventure animation comedy family scifi,2014
Die Hard ,83844093,57759104,141603197,action thriller,1988
Up in the Air ,83823381,83019358,166842739,comedy drama romance,2009
Wrath of the Titans ,83670083,218300000,301970083,action adventure fantasy,2012
Insidious: Chapter 2 ,83586447,78332871,161919318,horror mystery thriller,2013
Under Siege ,83563139,73000000,156563139,action thriller,1992
Battle Los Angeles ,83552429,128266925,211819354,action scifi,2011
Immortals ,83504017,143400000,226904017,action drama fantasy romance,2011
I Can Only Imagine ,83482352,2604529,86086881,biography drama family music,2018
Apocalypse Now ,83471511,8686553,92158064,drama mystery war,1979
Patriot Games ,83351587,94700000,178051587,action thriller,1992
Saving Mr. Banks ,83301580,34566404,117867984,biography comedy drama,2013
Smallfoot ,83240103,130800000,214040103,adventure animation comedy drama family fantasy musical,2018
Good Boys ,83140306,27896926,111037232,adventure comedy,2019
Valkyrie ,83077833,118467684,201545517,drama history thriller war,2008
Brokeback Mountain ,83043761,95018998,178062759,drama romance,2005
Turbo ,83028128,199542554,282570682,adventure animation comedy family sport,2013
Disclosure ,83015089,131000000,214015089,drama thriller,1994
Charlotte's Web ,82985708,65978114,148963822,adventure comedy family fantasy,2006
Monster-in-Law ,82931301,72526026,155457327,comedy romance,2005
Are We There Yet? ,82674398,15244265,97918663,adventure comedy family fantasy romance,2005
Freddy vs. Jason ,82622655,34009973,116632628,action horror,2003
Star Trek: The Motion Picture ,82604699,82604699,82604699,adventure mystery scifi,1979
The Descendants ,82584160,94659025,177243185,comedy drama,2011
Cheaper by the Dozen 2 ,82571173,47583395,130154568,adventure comedy family,2005
Mr. Holland's Opus ,82569971,23700000,106269971,drama music,1995
Bram Stoker's Dracula ,82522790,133339902,215862692,drama fantasy horror romance,1992
Let's Be Cops ,82390774,55834177,138224951,action comedy crime,2014
Blade II ,82348319,72661713,155010032,action horror scifi thriller,2002
Beowulf ,82280579,114113166,196393745,action adventure animation fantasy,2007
Bridge to Terabithia ,82272442,55314621,137587063,drama family fantasy,2007
The Pink Panther ,82226474,81889423,164115897,adventure comedy crime mystery,2006
Teenage Mutant Ninja Turtles: Out of the Shadows ,82051601,163572247,245623848,action adventure comedy scifi,2016
The Post ,81903458,98515818,180419276,drama,2017
Alien ,81900459,24385063,106285522,horror scifi,1979
Maze Runner: The Scorch Trials ,81697192,230598864,312296056,action adventure scifi thriller,2015
Eight Below ,81612565,38843429,120455994,adventure drama family,2006
MASH ,81600000,81600000,81600000,comedy drama war,1970
Unstoppable ,81562942,86242524,167805466,action thriller,2010
Payback ,81526121,80100000,161626121,action crime drama thriller,1999
Ted 2 ,81476385,134387221,215863606,comedy,2015
The Talented Mr. Ripley ,81298265,47501244,128799509,crime drama thriller,1999
School of Rock ,81261177,49834813,131095990,comedy music,2003
Snow Dogs ,81172560,33862530,115035090,adventure comedy family sport,2002
21 ,81159365,78649005,159808370,crime drama history thriller,2008
While You Were Sleeping ,81057016,101000000,182057016,comedy drama romance,1995
Congo ,81022101,71000000,152022101,action adventure mystery scifi,1995
The Notebook ,81001787,36813370,117815157,drama romance,2004
Jimmy Neutron: Boy Genius ,80936232,22056304,102992536,action adventure animation comedy family scifi,2001
Eat Pray Love ,80574010,124020006,204594016,biography drama romance,2010
The Texas Chainsaw Massacre ,80571655,26792250,107363905,crime horror,2003
Zookeeper ,80360843,89491916,169852759,comedy family fantasy romance,2011
